Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,YoY % NSA
31/07/1997,0.405944202,0.091642443,0.063072034,0.136427838,-0.175958014,-0.031629086,-0.192955443,0.03
29/08/1997,0.293908818,0.040147142,0.085329922,0.081936654,-0.173897707,-0.053599147,-0.192203833,0.04
30/09/1997,0.295915403,0.046391114,0.059785875,0.149193599,-0.11089081,-0.04895944,-0.145169687,0.04
31/10/1997,0.210315043,0.065440909,0.066184924,0.066372576,-0.17362868,0.089943826,-0.205172032,0.04
28/11/1997,0.181908895,-0.030878153,-0.187435547,-0.049366602,-0.187305817,0.042680812,-0.230771963,0.04
31/12/1997,0.224504425,-0.082434069,-0.270672901,-0.074005879,-0.183641551,-0.005394759,-0.241451942,0.04
30/01/1998,0.213485015,-0.084762228,-0.272466635,-0.135172717,-0.096448373,-0.000297457,-0.149736195,0.03
27/02/1998,0.270486854,-0.133255559,-0.212504345,-0.20576382,-0.153096776,-0.10809193,-0.206121904,0.03
31/03/1998,0.362660676,-0.148583665,-0.22379314,-0.201859838,-0.111346,-0.170016371,-0.17218564,0.04
30/04/1998,0.306120134,-0.16617694,-0.266035903,-0.18715235,-0.068382808,-0.257090031,-0.128105536,0.04
29/05/1998,0.24608081,-0.21862338,-0.329158187,-0.250509133,-0.140912327,-0.246152222,-0.178891117,0.04
30/06/1998,0.218172388,-0.188947311,-0.334692744,-0.27474168,-0.105704243,-0.15811257,-0.140362756,0.04
31/07/1998,0.145939765,-0.261738973,-0.41880832,-0.284756269,-0.110206224,-0.271788016,-0.148100954,0.04
31/08/1998,0.057631053,-0.307907428,-0.484951636,-0.272045907,-0.153565876,-0.335999862,-0.17912294,0.03
30/09/1998,0.004555566,-0.262073045,-0.42752309,-0.277614487,-0.127485532,-0.280351708,-0.144778157,0.03
30/10/1998,0.146261499,-0.286271559,-0.508512102,-0.260678936,-0.079298563,-0.279536675,-0.093183518,0.03
30/11/1998,0.191735105,-0.31019495,-0.549481576,-0.223129174,-0.052271466,-0.274358012,-0.050703597,0.03
31/12/1998,0.206624547,-0.305231302,-0.493709722,-0.231851925,-0.054556646,-0.280011112,-0.041765413,0.03
29/01/1999,0.211419542,-0.310356504,-0.471229713,-0.23597123,-0.100798912,-0.305041963,-0.093010677,0.02
26/02/1999,0.122929554,-0.304133427,-0.453245567,-0.202102093,-0.084002671,-0.34322435,-0.079091914,0.02
31/03/1999,0.114563538,-0.239339405,-0.262569687,-0.202832027,-0.125827712,-0.279000885,-0.109259212,0.02
30/04/1999,0.160662835,-0.197606306,-0.176295164,-0.124664696,-0.11102863,-0.272530222,-0.104200992,0.02
31/05/1999,0.131187354,-0.207457477,-0.190542063,-0.159570094,-0.104847691,-0.257747079,-0.115866328,0.01
30/06/1999,0.158019339,-0.144592824,-0.017933838,-0.021321178,-0.136484062,-0.280605509,-0.151796182,0.01
30/07/1999,0.133723093,-0.073331806,0.163832407,-0.034063,-0.126524055,-0.248734984,-0.141129417,0.01
31/08/1999,0.310731346,0.046812086,0.364474871,0.043014706,-0.086959808,-0.165894662,-0.110590212,0.01
30/09/1999,0.288043854,0.021986454,0.239410397,0.088115373,-0.02090343,-0.197817259,-0.03431645,0.01
29/10/1999,0.265209387,0.011050002,0.28267599,0.100731398,-0.000707965,-0.246917368,-0.014263694,0.01
30/11/1999,0.224221233,0.114340352,0.761069525,0.121050542,-0.018728691,-0.265295689,-0.040795813,0.01
31/12/1999,0.276786834,0.185989689,0.834783265,0.246862341,-0.009233727,-0.226269819,-0.032581813,0.02
31/01/2000,0.178993683,0.254259356,1.009423887,0.282450456,-0.013321877,-0.184065206,-0.040837825,0.02
29/02/2000,0.211535656,0.320874825,1.390708119,0.204757016,-0.00544056,-0.130918956,-0.014369369,0.02
31/03/2000,0.229342789,0.21600393,0.708809679,0.193533657,-0.007142731,-0.150068042,-0.038690109,0.03
28/04/2000,0.150679674,0.153390645,0.574520569,0.05268334,-0.048952747,-0.133107844,-0.080817356,0.03
31/05/2000,0.158170071,0.309122895,1.016154004,0.143392937,0.009323429,-0.098591687,-0.030627926,0.03
30/06/2000,0.1262311,0.26833609,1.001985463,0.064857645,0.086142497,-0.14691141,0.061054619,0.03
31/07/2000,0.131657495,0.182454116,0.658095065,0.065332389,0.0711988,-0.12828089,0.037745964,0.03
31/08/2000,0.182362616,0.226254203,0.876845951,0.026544186,0.077729115,-0.136787876,0.039743213,0.03
29/09/2000,0.143979055,0.15729722,0.693679141,0.018052429,-0.081198139,-0.134969527,-0.123221697,0.03
31/10/2000,0.081828174,0.174128115,0.854582246,-0.044883551,-0.106750071,-0.122612272,-0.158717184,0.03
30/11/2000,-0.022420957,0.238674458,0.959121611,-0.059955553,-0.072763693,-0.078944902,-0.119350177,0.03
29/12/2000,-0.098699233,0.242109302,0.767144714,-0.097921211,-0.069499298,-0.067997451,-0.108031465,0.03
31/01/2001,-0.030582028,0.150385943,0.48884137,-0.078995742,-0.077448672,-0.136626092,-0.116994015,0.03
28/02/2001,-0.11812315,0.126607127,0.300255261,-0.057833404,-0.102205857,-0.133646809,-0.141644997,0.03
30/03/2001,-0.207387622,0.069505033,0.312782194,-0.104258676,-0.108153332,-0.241674828,-0.129160491,0.02
30/04/2001,-0.132190533,0.122074654,0.411719132,-0.055267879,-0.066590872,-0.181398607,-0.090024836,0.02
31/05/2001,-0.116716026,0.031584188,0.152348793,-0.056491101,-0.058719248,-0.245589592,-0.07595413,0.02
29/06/2001,-0.156821805,-0.03047904,-0.082878398,-0.131723144,-0.104016102,-0.194762108,-0.114533359,0.02
31/07/2001,-0.162299017,0.036013551,0.034189973,-0.174511822,-0.099958856,-0.152705708,-0.084582042,0.02
31/08/2001,-0.245405357,-0.054959064,-0.143569226,-0.201644923,-0.083469538,-0.189021904,-0.056093265,0.02
28/09/2001,-0.276081602,-0.110940874,-0.24049556,-0.255770696,-0.010350576,-0.237135443,0.022494146,0.02
31/10/2001,-0.254232247,-0.129197152,-0.300009242,-0.236054178,-0.028060376,-0.233307136,0.013995945,0.02
30/11/2001,-0.154793928,-0.184888099,-0.445811417,-0.135177076,-0.056744934,-0.223539891,-0.023894748,0.01
31/12/2001,-0.142106167,-0.223185945,-0.425201145,-0.19394179,-0.02980362,-0.257732658,-0.010422891,0.01
31/01/2002,-0.180193793,-0.207099471,-0.412133893,-0.19282194,-0.013387303,-0.236659512,0.030692994,0.01
28/02/2002,-0.119120874,-0.18105843,-0.347847778,-0.160729203,0.046452767,-0.232851083,0.083233998,0.01
29/03/2002,-0.0379242,-0.05489045,-0.180235668,-0.091776463,0.124953692,-0.1287809,0.147854912,0.01
30/04/2002,-0.141902121,-0.085344752,-0.20249179,-0.129728884,0.112199616,-0.201052853,0.14566226,0.02
31/05/2002,-0.145203727,-0.078574202,-0.234234363,-0.113399235,0.167386892,-0.106670782,0.202542758,0.01
28/06/2002,-0.190770323,-0.020206615,-0.110033138,-0.061306586,0.118359055,-0.053251461,0.133912358,0.01
